Event: death from-,number of units,Unit of exposure,micromorts per unit of exposure,,Context,Time period,N deaths,N population,Link,,,,,,,,,,,,,,,
Car occupant,1,hour,0.07254,,UK,2010,405,39,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0050606         http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Goods vehicle occupant,1,hour,,,UK,2010,62,,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Motorcycle,,hour,4.278,,UK,2010,403,50,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Pedal cycle,,hour,0.272304,,UK,2010,111,12.2,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Pedestrians,,hour,0.096348,,UK,2010,405,4.2,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Bus or coach,,hour,,,UK,2010,9,,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Rail,,hour,0.003306667,,UK,2010,,40,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Water,,hour,,,UK,2010,,,,,,,,,,,,,,,,,,
Air (commercial),,hour,0.041639695,,US,1992-2011,1631,400,,,,,,,,,,,,,,,,
Air (small aitcraft),,hour,0.003824601,,,,,200,,,,,,,,,,,,,,,,
Medical,,,,,,,,,,,,,,,,,,,,,,,,
Anaesthetic accident,,non-emergency operation,10,,UK,,,,http://www.rcoa.ac.uk/document-store/death-or-brain-damage,,,,,,,,,,,,,,,
Wo,,births,120,,UK,2008,,,UN ,,,,,,,,,,,,,,,
Caesarian section,,,170,,E+W,,,,http://www.rcoa.ac.uk/docs/Risk_14Death.pdf,,,,,,,,,,,,,,,
Military,,,,,,,,,,,,,,,,,,,,,,,,
Serving in Afghanistan (peak risk period),,day,47,,UK forces,18/5/09 to 4/10/09,60,9000 servicemen and women,http://www.mrc-bsu.cam.ac.uk/Publications/PDFs/PERIOD_9_10_fatalities_in_Afghanistan_and_Iraq.pdf,,,,,,,,,,,,,,,
Iraq ,,day,16.73454276,,US forces,2007,904,148000,http://icasualties.org/,,,,,,,,,,,,,,,
Afghanistan,,day,17.13004242,,US forces,2009,317,50700,http://icasualties.org/,,,,,,,,,,,,,,,
Afghanistan,,day,21.52950059,,US forces,2010,499,63500,http://www.fas.org/sgp/crs/natsec/R40682.pdf ,,,,,,,,,,,,,,,
Flying in Bomber Command in WW2,,mission,27000,,RAF,1939-1945,55000,"364,000 missions, average crew 6?",http://en.wikipedia.org/wiki/RAF_Bomber_Command,,,,,,,,,,,,,,,
Leisure activities,,,,,,,,,,,,,,,,,,,,,,,,
Scuba diving,,dive,5,,UK,?,,,http://www.bsac.com/page.asp?section=3780&sectionTitle=UK+Diving+Fatalities+Review,,,,,,,,,,,,,,,
Hang-gliding,,jump,8,,UK,?,,,,,,,,,,,,,,,,,,
Rock climbing,,climb,3,,UK,?,,,,,,,,,,,,,,,,,,
Skiing,,day,0.7,,US,2008/9,39,"57,000,000 days",http://www.ski-injury.com/intro,,,,,,,,,,,,,,,
Skydiving,,jump,7,,US,2008-2012, , ,http://www.uspa.org/AboutSkydiving/SkydivingSafety/tabid/526/Default.aspx,,,,,,,,,,,,,,,
Skydiving,,jump,10,,UK,1992-2011,46,4700000,http://www.bpa.org.uk/staysafe/how-safe/,,,,,,,,,,,,,,,
Running marathon,,run,7,,US,1975-2004,26,3300000,"Kipps C, Sharma S, Pedoe DT. The incidence of exercise-associated hyponatraemia in the London marathon. British Journal of Sports Medicine. 2011 Jan 1;45(1):14 –19",,,,,,,,,,,,,,,
Base-jumping,,jump,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Illegal drugs,,,,,,,,,,,,,,,,,,,,,,,,
Heroin (sole mention),,year,13410.25641,,England and Wales,2003-2007,523,39,"Taken from Tables 1,2,3:  King Corkery Human Psychopharmacology: Clinical and Experimental 25,162–166, 2010http://onlinelibrary.wiley.com/doi/10.1002/hup.1090/abstract",,,,,,,,,,,,,,,
Cocaine and crack (sole mention),,year,74.40100883,,England and Wales,2003-2007,59,793,,,,,,,,,,,,,,,,
Amphetamines (sole mention),,year,53.23741007,,England and Wales,2003-2007,22.2,417,,,,,,,,,,,,,,,,
Ecstasy (sole mention),,year,52.12569316,,England and Wales,2003-2007,28.2,541,,,,,,,,,,,,,,,,
Cannabis (sole mention),,year,0.49382716,,England and Wales,2003-2007,1.4,2835,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Heroin (mention),,year,19641.02564,,England and Wales,2003-2007,766,39,,,,,,,,,,,,,,,,
Cocaine and crack (mention),,year,213.1147541,,England and Wales,2003-2007,169,793,,,,,,,,,,,,,,,,
Amphetamines (mention),,year,98.32134293,,England and Wales,2003-2007,41,417,,,,,,,,,,,,,,,,
Ecstasy (mention),,year,90.57301294,,England and Wales,2003-2007,49,541,,,,,,,,,,,,,,,,
Cannabis (mention),,year,5.502645503,,England and Wales,2003-2007,15.6,2835,,,,,,,,,,,,,,,,
Heroin last month,,year,8955.223881,,US,2012,3000,335000,http://www.samhsa.gov/data/NSDUH/2012SummNatFindDetTables/DetTabs/NSDUH-DetTabsSect1peTabs1to46-2012.htm#Tab1.1A,,,,,,,,,,,,,,,
cocaine,,,3090.909091,,US,,5100,1650000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Occupations,,,,,,,,,,,,,,,,,,,,,,,,
Coal mining accident,,year,1190,,UK,1911,1308,1100000,,,,,,,,,,,,,,,,
Coal mining,,year,430,,UK,2006-2010,,,,,,,,,,,,,,,,,,
All occupations,,year,6,,UK,2010,,,,,,,,,,,,,,,,,,
All occupations,,year,160,,all world,,,,,,,,,,,,,,,,,,,
Commercial fishing,,year,1020,,UK,1996-2005,160,,,,,,,,,,,,,,,,,
Health Safety Exec,,year,1000,,Unacceptable occupatinal risk',,,,,,,,,,,,,,,,,,,
Logging,,year,1280,,US,2012,,,Bureau of Labor Statistics. Census of Fatal Occupational Injuries (CFOI) - Current and Revised Data [Internet]. [cited 2012 Nov 23]. Available from: http://www.bls.gov/iif/oshcfoi1.htm,,,,,,,,,,,,,,,
Fisheries,,year,1100,,US,2012,,,,,,,,,,,,,,,,,,
All occupations,,year,,,US,2012,,,,,,,,,,,,,,,,,,
