Event,Tags,Unit,Micromorts,Context,Period,Deaths,Population,Link
Running marathon,Leisure,run,7,US,1975-2004,26,"3,300,000","Kipps C, Sharma S, Pedoe DT. The incidence of exercise-associated hyponatraemia in the London marathon. British Journal of Sports Medicine. 2011 Jan 1;45(1):14 _19"
Base-jumping,Leisure,jump,,,,,,
Heroin (sole mention),Illegal drugs,year,"13,410",England and Wales,2003-2007,523,39,"Taken from Tables 1,2,3:  King Corkery Human Psychopharmacology: Clinical and Experimental 25,162_166, 2010http://onlinelibrary.wiley.com/doi/10.1002/hup.1090/abstract"
Cocaine and crack (sole mention),Illegal drugs,year,74,England and Wales,2003-2007,59,793,
Amphetamines (sole mention),Illegal drugs,year,53,England and Wales,2003-2007,22.2,417,
Ecstasy (sole mention),Illegal drugs,year,52,England and Wales,2003-2007,28.2,541,
Cannabis (sole mention),Illegal drugs,year,0,England and Wales,2003-2007,1.4,2835,
Heroin (mention),Illegal drugs,year,"19,641",England and Wales,2003-2007,766,39,
Cocaine and crack (mention),Illegal drugs,year,213,England and Wales,2003-2007,169,793,
Amphetamines (mention),Illegal drugs,year,98,England and Wales,2003-2007,41,417,
Ecstasy (mention),Illegal drugs,year,91,England and Wales,2003-2007,49,541,
Cannabis (mention),Illegal drugs,year,6,England and Wales,2003-2007,15.6,2835,
Heroin last month,Illegal drugs,year,8955,US,2012,3000,335000,http://www.samhsa.gov/data/NSDUH/2012SummNatFindDetTables/DetTabs/NSDUH-DetTabsSect1peTabs1to46-2012.htm#Tab1.1A
cocaine,Illegal drugs,,3091,US,,5100,1650000,
Coal mining accident,Occupations,year,1190,UK,1911,1308,1100000,
Coal mining,Occupations,year,430,UK,2006-2010,,,
All occupations,Occupations,year,6,UK,2010,,,
All occupations,Occupations,year,160,all world,,,,
Commercial fishing,Occupations,year,1020,UK,1996-2005,160,,
Health Safety Exec,Occupations,year,1000,Unacceptable occupatinal risk',,,,
Logging,Occupations,year,1280,US,2012,,,Bureau of Labor Statistics. Census of Fatal Occupational Injuries (CFOI) - Current and Revised Data [Internet]. [cited 2012 Nov 23]. Available from: http://www.bls.gov/iif/oshcfoi1.htm
Fisheries,Occupations,year,1100,US,2012,,,
All occupations,Occupations,year,,US,2012,,,
